resource_id,resource_name,category,need_tags,service_area,county,city,state,eligibility_age_min,eligibility_age_max,description,referral_method,contact_phone,website,ai_match_rules,default_priority,caseworker_notes
R001,DSCYF Independent Living Services,Independent Living,life_skills;mentorship;tuition;transition_support;housing,Statewide,Statewide,Statewide,DE,14,21,"Supports youth in foster care and young adults who exited care after 18 with independent living skills, mentoring, tuition assistance, and transitional living support.",Caseworker/DFS referral,,https://kids.delaware.gov/family-services/independent-living/,age>=14 AND (in_foster_care OR aged_out) AND transition_support_needed,High,
R002,DSCYF ASSIST / Aftercare 18-21,Aftercare,aftercare;living_expenses;independent_living;housing,Statewide,Statewide,Statewide,DE,18,21,Aftercare and supported transition option for eligible youth who have aged out and need help moving toward self-sufficiency.,Caseworker/DFS referral,,https://kids.delaware.gov/family-services/il-provider-resources/,age>=18 AND age<=21 AND aged_out AND needs_aftercare,High,
R003,West End Neighborhood House Life Lines,Housing & Case Management,housing;case_management;education;employment;mental_health;financial_literacy;life_skills,Statewide,Statewide,Wilmington / Harrington,DE,16,23,"Serves current and former foster youth, unaccompanied youth, and eligible youth with housing support, case management, education/training, financial education, employment help, mental health services, and life skills.",Referral or program inquiry,,https://westendnh.org/programs/life-lines/,"housing_status IN ('unstable','no_plan','homeless') OR needs_case_management OR needs_life_skills",High,
R004,West End Life Lines Transitional Housing,Housing,transitional_housing;homelessness;case_management,Statewide,Statewide,Wilmington / Sussex area,DE,18,23,Transitional housing program for former foster care youth with case managers and individualized self-sufficiency planning.,Referral / eligibility screening,,https://westendnh.org/programs/life-lines-programs/,"age>=18 AND age<=23 AND former_foster_youth AND housing_status IN ('homeless','unstable','no_plan')",High,
R005,People's Place Independent Living,Independent Living,life_skills;case_management;foster_care;transition_support,Statewide,Statewide,Milford / statewide service,DE,16,23,"Provides independent living preparation, skills, training, and case management to current or former foster youth.",DFS referral or self-referral for 18-23,,https://peoplesplace2.com/services/independent-living,age>=16 AND age<=23 AND (in_foster_care OR aged_out) AND needs_life_skills,High,
R006,ILYA - Independent Living for Young Adults,Mentorship & Community Support,mentorship;material_support;community_support;aged_out,Statewide,Statewide,Wilmington area / statewide support,DE,18,23,"Volunteer program supporting Delaware young adults who have aged out of foster care with encouragement, community connection, and practical/material support.",Community referral,,https://firstuuwilm.org/ilya-about-us/,"aged_out AND support_network IN ('none','limited') OR needs_material_support",Medium,
R007,Delaware 211,Resource Navigation,general_support;food;housing;health;legal;education;utilities;clothing;crisis,Statewide,Statewide,Statewide,DE,0,99,Free confidential referral service connecting Delaware residents to essential health and human services.,"Call 211, text zip code to 898-211, or use website",211,https://delaware211.org/,any_unmet_need OR unknown_resource_category,High,Good fallback resource when the AI Assistant cannot confidently match a specific provider.
R008,Delaware ASSIST,Benefits,SNAP;Medicaid;cash_assistance;child_care;public_benefits,Statewide,Statewide,Statewide,DE,18,99,Online portal for Delawareans to apply for health and social service benefit programs.,Online application,,https://assist.dhss.delaware.gov/,needs_benefits OR food_insecurity OR health_insurance_needed,High,
R009,Foster Care Tuition Waiver Program,Education Funding,college;tuition;financial_aid;Delaware_Tech;UD;DSU,Statewide,Statewide,Statewide,DE,18,26,Tuition waiver information for eligible students who experienced Delaware foster care and are pursuing post-secondary education.,Eligibility application / caseworker support,,https://kids.delaware.gov/family-services/foster-care-tuition-waiver-program/,"education_goal IN ('college','Delaware Tech','trade school','CNA') AND foster_care_history",High,
R010,Delaware Courts Youth in Transition / Scholarship Support,Education Funding,scholarship;college;tuition_waiver;transition,Statewide,Statewide,Statewide,DE,18,26,Information on scholarship opportunities and foster care education transition supports.,Review eligibility and application steps,,https://courts.delaware.gov/childadvocate/youth-in-transition.aspx,"education_goal IN ('college','certificate','trade school') AND foster_care_history",Medium,
